Term 1	Term 2	Total Frequency	# of Projects Appearing In	In WordNet?
perform	handle	4	4	false
concatenate	combine	4	4	false
force	read	4	3	false
finish	handle	4	4	false
fill	cause	4	4	false
close	flag	4	1	false
beep	cause	4	4	false
begin	activate	4	4	false
write	copy	4	4	true
normalize	convert	4	4	false
dispose	provide	4	4	false
prepare	fill	4	4	false
clear	drop	4	4	false
treat	ensure	4	1	false
release	force	4	4	false
init	send	4	4	false
create	sandbox	4	4	false
open	prepare	4	3	false
restart	clear	4	4	false
relax	override	4	4	false
evaluate	step	4	4	false
resolve	look	4	2	false
stop	throw	4	4	false
try	aqquire	4	4	false
add	innerclass	4	1	false
export	clone	4	2	false
collapse	take	4	2	false
save	send	4	4	false
flush	clean	4	4	false
purge	clean	4	4	false
truncate	remove	4	3	false
read	package	4	2	false
read	preserve	4	4	false
return	create	4	3	true
init	mark	4	4	false
create	enumerate	4	4	false
cancel	mark	4	4	true
show	format	4	4	false
write	preprocess	4	4	false
handle	replace	4	4	false
flush	emit	4	4	false
add	triangulate	4	4	false
sort	handle	4	4	false
save	prepare	4	4	false
populate	configure	4	4	false
perform	replace	4	4	false
post	provide	4	3	false
add	short	4	1	false
new	retrieve	4	2	false
poll	execute	4	3	false
attach	make	4	1	false
show	force	4	4	false
draw	request	4	4	false
execute	provide	4	4	false
new	make	4	4	false
bite	calculate	4	4	false
resolve	need	4	4	false
start	attract	4	4	false
poll	complete	4	4	false
finish	make	4	4	false
capture	note	4	4	false
copy	contain	4	4	false
init	place	4	4	false
clean	walk	4	4	false
prepare	generate	4	4	false
debug	indicate	4	4	false
finalize	flush	4	4	false
compute	suppose	4	4	false
cancel	indicate	4	3	false
ensure	force	4	4	false
start	spin	4	4	false
go	change	4	3	true
restart	stop	4	4	false
move	change	4	2	true
assert	fail	4	4	false
close	execute	4	3	false
find	provide	4	4	false
create	fix	4	3	false
match	update	4	3	false
build	demonstrate	4	1	false
request	process	4	3	false
delete	verify	4	1	false
receive	verify	4	1	false
put	verify	4	1	false
init	lay	4	1	false
encode	request	4	1	false
deposit	click	4	1	false
delete	add	4	4	false
update	transfer	4	3	false
process	ensure	4	2	false
clear	provide	4	4	false
configure	invoke	4	2	false
paragraph	start	4	1	false
report	store	4	1	false
init	extract	4	3	false
show	populate	4	2	false
mark	save	4	4	false
load	initial	4	2	false
sum	calculate	4	3	false
release	make	4	3	false
record	parse	4	1	false
spus	load	4	1	false
extract	total	4	1	false
decide	insert	4	1	false
construct	insert	4	1	false
example	insert	4	1	false
build	insert	4	1	false
ensure	occur	4	1	false
ensure	look	4	4	false
clean	save	4	2	false
process	extract	4	4	false
average	compute	4	4	true
open	ver	4	1	false
install	expect	4	1	false
cancel	tell	4	4	false
prepare	clear	4	4	false
close	void	4	2	false
query	list	4	1	false
fire	indicate	4	3	false
monitor	start	4	4	false
force	dispatch	4	2	false
example	provide	4	1	false
null	allow	4	2	false
close	add	4	4	false
update	restore	4	2	false
query	retrieve	4	2	false
have	answer	4	2	false
log	calculate	4	2	false
bind	verify	4	1	false
exist	evaluate	4	2	false
new	step	4	1	false
duplicate	handle	4	1	false
fit	create	4	1	false
par	First-class	4	1	false
notify	note	4	2	false
execute	expose	4	1	false
term	wrap	4	2	false
stitch	manage	4	1	false
resolve	note	4	1	false
make	credit	4	1	false
adjust	reset	4	3	true
build	answer	4	2	false
start	override	4	4	false
poll	delete	4	2	false
call	occur	4	2	false
compact	reallocate	4	4	false
end	force	4	4	false
consume	remove	4	4	false
sort	bind	4	1	false
filter	bind	4	1	false
delete	bind	4	1	false
append	bind	4	1	false
accumulate	bind	4	1	false
validate	term	4	1	false
close	defer	4	4	false
go	render	4	2	false
due	task	4	1	false
make	take	4	3	true
format	relate	4	1	false
try	undefine	4	1	false
try	catch	4	1	false
try	evaluate	4	1	true
assert	force	4	3	false
perform	move	4	2	true
wait	suspend	4	3	false
indent	decrease	4	3	false
update	record	4	4	false
iterate	draw	4	4	false
connect	find	4	4	false
init	spring	4	3	false
save	commit	4	4	false
initialize	note	4	3	false
record	enable	4	3	false
fragment	add	4	2	false
insert	start	4	2	false
edit	start	4	3	false
validate	associate	4	2	false
show	click	4	2	false
show	center	4	3	false
refresh	regenerate	4	3	true
close	avoid	4	4	false
fix	ensure	4	4	false
parse	convert	4	4	false
report	generate	4	4	false
take	note	4	2	false
reset	ensure	4	2	false
find	identify	4	4	false
recycle	Package-level	4	4	false
configure	provide	4	4	false
calculate	full	4	4	false
configure	process	4	2	false
send	signal	4	4	false
prepare	validate	4	4	false
flush	allow	4	4	false
merge	include	4	4	false
parse	attribute	4	4	false
collect	break	4	4	false
begin	process	4	3	false
update	push	4	4	false
release	give	4	4	true
clone	need	4	4	false
fix	make	4	4	true
reset	provide	4	4	false
create	record	4	3	false
clean	refresh	4	4	false
execute	write	4	4	false
fire	signal	4	2	false
handle	handel	4	1	false
read	move	4	3	false
stop	block	4	3	true
draw	display	4	4	false
recompose	recalculate	4	4	false
enable	control	4	2	false
execute	command	4	4	false
drop	base	4	4	false
load	launch	4	4	false
forward	go	4	4	false
exclude	filter	4	3	false
include	filter	4	2	false
apply	create	4	4	false
init	want	4	4	false
disconnect	indicate	4	4	false
close	treat	4	2	false
undo	throw	4	4	false
execute	compute	4	4	false
add	track	4	2	false
mark	add	4	3	true
rte	fetch	4	2	false
initialize	log	4	4	false
save	take	4	4	false
init	reinitialize	4	4	false
discard	analyze	4	2	false
create	ask	4	4	false
handle	respond	4	3	false
stop	De-registers	4	4	false
process	open	4	4	false
reload	parse	4	1	false
construct	retrieve	4	2	false
create	sample	4	4	false
init	query	4	4	false
open	provide	4	4	false
decrement	subtract	4	4	false
edit	grab	4	4	false
prepare	grab	4	4	false
dispose	need	4	4	false
duplicate	copy	4	2	true
read	fetch	4	3	false
require	make	4	3	false
resolve	allow	4	3	false
calendar	send	4	2	false
character	compile	4	4	false
escape	match	4	4	false
bracket	match	4	4	false
select	prompt	4	2	false
enable	attach	4	4	false
dispatch	drain	4	4	false
find	note	4	4	false
compress	release	4	4	false
rebuild	remove	4	4	false
query	generate	4	2	false
prepare	stack	4	4	false
go	simulate	4	4	false
invalidate	schedule	4	4	false
open	verify	4	4	false
synchronize	synchronise	4	4	true
select	recreate	4	4	false
start	let	4	4	false
refresh	notify	4	4	false
clamp	ensure	4	2	false
scroll	make	4	3	false
reconnect	start	4	4	false
persist	ensure	4	3	false
reset	cache	4	4	false
release	unbind	4	4	false
build	retrieve	4	4	false
choose	select	4	3	true
populate	access	4	2	false
unload	clear	4	3	false
touch	go	4	2	false
normalize	put	4	4	false
beep	emit	4	4	false
invalidate	change	4	4	true
open	Re-open	4	4	false
quit	ask	4	4	false
tear	allow	4	3	false
example	create	4	1	false
schedule	render	4	4	false
norm	dot	4	4	false
resize	center	4	4	false
print	ask	4	4	false
pad	flush	4	4	false
update	register	4	4	false
reduce	remove	4	3	false
render	add	4	2	false
force	write	4	4	false
bite	fit	4	4	false
remove	wait	4	4	false
fill	record	4	4	false
revalidate	Re-calculates	4	2	false
end	leave	4	4	false
read	Re-initialize	4	4	false
close	control	4	4	false
compute	assign	4	4	false
reset	specify	4	4	true
push	indicate	4	4	false
parse	specify	4	4	false
use	tell	4	2	false
compile	parse	4	4	false
build	consist	4	2	false
close	retrieve	4	4	false
force	wait	4	3	false
grow	expand	4	3	true
disconnect	remove	4	4	false
close	initiate	4	4	false
scan	contain	4	2	false
read	assert	4	2	false
open	extend	4	4	false
handle	save	4	4	false
release	unregister	4	4	false
activate	update	4	4	false
create	content	4	3	false
preserve	save	4	4	true
init	restore	4	4	false
remove	unload	4	4	false
go	revert	4	2	false
restore	hook	4	3	false
update	commit	4	4	false
hook	attach	4	4	false
refresh	repaint	4	4	false
finalize	destroy	4	3	false
trigger	notify	4	3	false
remove	last	4	4	false
gl	enable	4	1	false
tick	update	4	4	false
shrink	change	4	4	false
free	declare	4	4	false
start	construct	4	4	false
perform	apply	4	4	false
synchronize	toggle	4	2	false
post	remove	4	1	false
negate	flip	4	4	false
reset	trigger	4	4	false
generate	extract	4	2	false
log	execute	4	3	false
reload	cause	4	4	false
handle	accept	4	4	false
end	flush	4	4	false
transform	verify	4	1	false
analyze	key	4	4	false
post	read	4	4	false
uncompress	decompress	4	4	true
schedule	pull	4	4	false
unregister	uninitialize	4	4	false
register	map	4	4	false
tear	restore	4	4	false
handle	enable	4	3	false
debug	open	4	2	false
initiate	create	4	4	true
scan	steal	4	4	false
grow	double	4	4	false
handle	free	4	3	false
remove	exclude	4	4	false
new	convert	4	1	false
prompt	display	4	3	false
reset	zero	4	4	false
switch	determinate	4	4	false
load	obtain	4	4	false
polish	strip	4	4	false
install	request	4	4	false
reset	ask	4	4	false
process	scan	4	4	false
process	reset	4	3	false
split	create	4	4	false
create	walk	4	4	false
update	marginalize	4	2	false
use	disable	4	4	false
decompose	carry	4	2	false
num	tip	4	2	false
start	convert	4	3	false
calculate	cause	4	2	false
normalize	describe	4	2	false
enumerate	follow	4	2	false
measure	number	4	2	false
search	signal	4	2	false
measure	select	4	2	false
stop	calculate	4	2	false
optimize	find	4	4	false
resolve	create	4	4	false
end	remove	4	3	false
invalidate	inform	4	4	false
output	push	4	4	false
output	pop	4	4	false
fetch	force	4	4	false
skip	happen	4	4	false
process	invert	4	4	false
finalize	sort	4	4	false
verify	calculate	4	4	false
debug	include	4	4	false
clear	let	4	4	true
select	ask	4	2	false
read	need	4	3	false
export	write	4	3	false
clone	underlie	4	1	false
clone	occur	4	4	false
load	tell	4	4	false
save	copy	4	3	false
pause	wait	4	4	false
dispose	overwrite	4	4	false
bright	make	4	1	false
create	string	4	4	false
locate	solr	4	4	false
delete	shut	4	4	false
start	install	4	4	false
create	keep	4	4	false
parse	load	4	4	false
render	trigger	4	2	false
update	broadcast	4	4	false
cut	move	4	4	true
hash	give	4	1	false
init	execute	4	3	false
find	tenure	4	4	false
restore	add	4	4	false
restore	roll	4	4	false
verify	generate	4	4	false
clear	whenever	4	4	false
edit	display	4	4	false
remove	create	4	4	false
activate	notify	4	4	false
switch	replace	4	4	false
execute	store	4	3	false
read	look	4	4	false
perform	provide	4	4	false
print	build	4	3	false
parse	react	4	3	false
start	post	4	4	false
execute	handle	4	4	false
cancel	click	4	3	false
validate	trigger	4	2	false
submit	execute	4	4	false
send	add	4	4	false
render	write	4	4	false
trigger	request	4	4	false
negate	match	4	4	false
refresh	replace	4	4	false
init	locate	4	4	false
start	collect	4	3	false
reset	take	4	3	false
reset	fill	4	4	false
add	tell	4	4	true
fire	request	4	4	false
redraw	repaint	4	4	false
populate	note	4	2	false
init	search	4	4	false
activate	initialize	4	4	false
format	create	4	4	false
show	initialize	4	4	false
bring	start	4	3	false
validate	let	4	2	false
add	search	3	2	false
parse	deal	3	1	false
process	refresh	3	2	false
load	setup	3	3	false
print	help	3	3	false
log	happen	3	3	false
submit	transmit	3	3	false
gauge	obtain	3	3	false
fetch	mirror	3	3	false
prime	connect	3	3	false
convert	inform	3	1	false
disable	accept	3	3	false
dispatch	construct	3	3	false
save	retrieve	3	3	false
write	ensure	3	3	false
schedule	turn	3	3	false
prepare	rebuild	3	3	false
restore	balance	3	3	false
mutate	share	3	3	false
mutate	make	3	3	false
reload	notify	3	3	false
close	require	3	3	false
apply	inform	3	3	false
register	secure	3	3	false
analyze	start	3	3	false
monitor	tell	3	3	false
choose	prefer	3	3	true
choose	commit	3	3	false
verify	wait	3	3	false
describe	report	3	3	true
obtain	allow	3	3	false
kill	disable	3	3	false
terminate	make	3	3	false
coerce	convert	3	3	false
kill	detach	3	3	false
finish	disconnect	3	3	false
confirm	handle	3	3	false
load	cycle	3	3	false
reset	monitor	3	3	false
resolve	find	3	3	false
process	write	3	3	false
resolve	locate	3	3	false
save	populate	3	2	false
activate	enable	3	3	false
pause	tell	3	3	false
disable	mark	3	2	false
leave	pop	3	3	false
request	wait	3	3	false
disconnect	destroy	3	3	false
write	invoke	3	2	false
launch	kick	3	3	false
subtract	remove	3	3	false
revert	save	3	1	false
submit	make	3	3	false
smooth	enable	3	3	false
resize	ensure	3	3	false
real	contain	3	3	false
debug	convert	3	1	false
reset	drop	3	3	false
clone	cancel	3	3	false
fire	general	3	3	false
advance	adjust	3	3	false
clone	extend	3	3	false
load	scan	3	3	false
start	retrieve	3	2	false
build	utilize	3	3	false
save	delegate	3	3	false
indent	reduce	3	3	false
trust	install	3	3	false
close	Over-ride	3	3	false
update	decide	3	3	false
retrieve	invoke	3	2	false
place	create	3	3	false
configure	install	3	3	false
reset	delegate	3	3	false
toggle	invert	3	3	false
bind	change	3	2	false
reflow	force	3	3	false
reverse	toggle	3	3	false
end	access	3	3	false
start	access	3	3	false
pretty	pretty-prints	3	3	false
tick	restart	3	3	false
weak	make	3	3	false
penn	print	3	3	false
num	say	3	3	false
process	apply	3	3	false
add	keep	3	3	false
initialize	cache	3	2	false
poll	read	3	2	false
add	tally	3	1	true
notify	reset	3	3	false
bind	inform	3	2	false
delete	note	3	3	false
init	let	3	2	false
end	kill	3	3	true
copy	add	3	3	false
save	provide	3	3	false
vibrate	trigger	3	3	false
log	trigger	3	1	false
assemble	construct	3	3	false
initialize	assume	3	3	false
clone	increase	3	3	false
validate	need	3	3	false
start	ensure	3	3	false
pre	print	3	1	false
compute	define	3	1	false
enter	translate	3	3	false
end	register	3	3	false
flag	make	3	3	false
begin	leave	3	3	false
mark	switch	3	3	false
drop	generate	3	3	false
duplicate	generate	3	3	false
invoke	generate	3	3	false
store	generate	3	3	false
compute	read	3	3	false
prim	resume	3	3	false
tear	prepare	3	2	false
increase	notify	3	2	false
start	close	3	2	false
scan	recognize	3	1	false
go	replace	3	1	false
register	invert	3	1	false
try	stop	3	2	false
describe	provide	3	3	false
open	fire	3	3	false
parameterize	modify	3	3	false
delete	service	3	3	false
copy	service	3	3	false
read	put	3	3	false
perform	query	3	3	false
combine	join	3	3	false
dispose	recycle	3	3	false
make	empty	3	3	false
read	instrument	3	1	false
execute	connect	3	3	false
execute	save	3	3	false
export	save	3	3	false
init	validate	3	3	false
op	push	3	1	false
toggle	display	3	3	false
drag	simulate	3	1	false
execute	specify	3	2	false
prevent	cancel	3	3	false
prepare	defer	3	3	false
increment	code	3	3	false
remove	signal	3	3	false
find	name	3	3	false
divide	generate	3	2	false
peek	access	3	3	false
close	delegate	3	3	false
publish	create	3	2	true
cancel	force	3	3	false
process	throw	3	3	false
add	iterate	3	3	false
delete	show	3	2	false
awake	override	3	1	false
cancel	update	3	3	false
finish	initialize	3	3	false
drop	execute	3	2	false
estimate	calculate	3	2	true
init	die	3	3	false
configure	update	3	3	false
use	create	3	2	false
compute	scroll	3	3	false
render	update	3	3	false
start	fetch	3	3	false
add	take	3	3	false
create	reply	3	2	false
witness	describe	3	3	false
show	Auto-generated	3	3	false
update	access	3	2	false
hash	finalize	3	1	false
dispose	allow	3	2	false
disable	prevent	3	3	false
undo	cancel	3	3	false
hash	iterate	3	2	false
hash	produce	3	3	false
hash	satisfy	3	3	false
ready	retrieve	3	3	false
prim	turn	3	1	false
copy	transfer	3	3	false
calculate	iterate	3	3	false
reconvert	start	3	3	false
terminate	remove	3	3	true
noop	send	3	2	false
use	issue	3	2	false
open	initiate	3	3	false
stop	command	3	2	false
find	skip	3	3	false
dispose	save	3	3	false
handle	select	3	3	false
reload	provide	3	2	false
invalidate	notify	3	3	false
reset	detect	3	3	false
prepare	allow	3	3	false
recycle	remove	3	3	false
encode	invoke	3	1	false
begin	allow	3	3	false
none	match	3	3	false
clear	key	3	3	false
feature	iterate	3	1	false
change	fire	3	3	false
create	assist	3	3	false
apply	carry	3	2	false
abort	relevant	3	3	false
trigger	force	3	3	false
handle	write	3	3	false
rebuild	recreate	3	3	false
prepare	write	3	3	false
invalidate	make	3	3	false
toggle	enter	3	3	false
try	fire	3	3	false
initialize	intialise	3	3	false
force	destroy	3	3	false
print	begin	3	1	false
reset	begin	3	2	false
copy	change	3	3	false
select	launch	3	2	false
build	map	3	3	false
build	calculate	3	3	false
capture	start	3	3	false
update	empty	3	3	false
force	help	3	3	false
new	render	3	3	false
increment	skip	3	2	false
enter	associate	3	2	false
flush	think	3	3	false
start	setup	3	3	false
increment	count	3	3	false
update	lookup	3	3	false
filter	trigger	3	3	false
repaint	issue	3	3	false
show	override	3	2	false
modify	track	3	3	false
damage	report	3	3	false
renumber	re-numbers	3	3	false
calculate	Re-calculates	3	3	false
tear	nullify	3	3	false
resize	update	3	3	false
decrement	go	3	1	false
increment	go	3	1	false
make	Re-initialize	3	3	false
save	request	3	2	false
tear	cause	3	3	false
silence	unset	3	1	false
example	ask	3	2	false
loop	play	3	3	false
await	allocate	3	3	false
pop	complete	3	3	false
pop	delete	3	3	false
close	stub	3	3	false
make	compile	3	3	true
filter	parse	3	3	false
build	bind	3	3	false
resin	dump	3	3	false
new	decode	3	1	false
calculate	encode	3	2	false
initialize	restore	3	3	false
finalize	warn	3	3	false
delete	bulk	3	2	false
execute	populate	3	2	false
read	pull	3	3	false
resolve	start	3	3	false
return	build	3	2	false
sum	compute	3	3	false
notify	keep	3	3	false
reset	assume	3	2	false
configure	indicate	3	2	false
initialize	Re-initialize	3	3	false
stop	transition	3	3	false
start	transition	3	3	false
save	queue	3	3	false
open	retrieve	3	2	false
invalidate	signal	3	3	false
reload	drop	3	2	false
validate	go	3	2	false
enable	throw	3	3	false
prepare	configure	3	3	false
refresh	provide	3	3	false
activate	extend	3	1	false
consume	mark	3	3	false
transpose	swap	3	2	false
calculate	translate	3	3	false
handle	force	3	3	false
add	filter	3	3	false
take	block	3	3	false
bootstrap	start	3	3	false
segment	append	3	3	false
new	clear	3	2	false
generate	erase	3	3	false
ping	enable	3	3	false
mute	log	3	3	false
try	support	3	3	false
report	display	3	3	false
send	need	3	3	false
launch	happen	3	3	false
flush	alternate	3	3	false
rebuild	iterate	3	3	false
cancel	start	3	3	false
increment	open	3	3	false
trigger	decrement	3	3	false
load	place	3	1	true
put	place	3	3	true
make	assign	3	3	false
enable	Re-enables	3	3	false
pop	top	3	3	false
finish	prepare	3	3	false
clone	close	3	3	false
attempt	send	3	3	false
format	access	3	3	false
assemble	initialize	3	2	false
select	query	3	2	false
retrieve	recreate	3	3	false
select	retrieve	3	2	false
include	define	3	1	false
update	reread	3	2	false
disable	hide	3	3	false
equal	create	3	1	false
create	newly-created	3	3	false
bite	count	3	3	false
clear	replace	3	3	false
copy	obtain	3	3	false
build	format	3	2	false
mark	ensure	3	3	false
scan	force	3	3	false
member	number	3	3	false
merge	create	3	3	false
add	display	3	3	false
clone	construct	3	3	false
configure	inject	3	2	false
populate	pull	3	3	false
init	log	3	2	false
end	deactivate	3	3	false
show	scroll	3	3	false
compute	note	3	2	false
enable	intercept	3	3	false
save	ensure	3	1	false
manage	delete	3	3	false
pop	last	3	3	false
update	revaluate	3	1	false
resume	fire	3	2	false
show	hide	3	3	false
verify	ask	3	3	false
enable	read	3	3	false
collapse	remove	3	3	false
finish	last	3	3	false
sort	add	3	3	false
update	evaluate	3	3	false
handle	hide	3	3	false
read	image	3	3	false
pop	put	3	3	false
repaint	trigger	3	3	false
invalidate	trigger	3	3	false
shift	move	3	3	true
expand	allocate	3	3	false
force	make	3	3	true
create	java2rewrite	3	1	false
merge	find	3	1	false
drop	discard	3	2	false
create	boundname	3	1	false
end	wait	3	3	false
dispose	tell	3	3	false
remove	change	3	3	false
fetch	take	3	3	true
new	take	3	3	false
read	wrap	3	3	false
drain	read	3	3	false
save	reset	3	3	false
retire	unregister	3	2	false
forward	profile	3	3	false
call	make	3	3	false
voice	leave	3	3	false
parse	terminate	3	3	false
halt	add	3	3	false
respond	start	3	3	false
scan	update	3	2	false
update	manage	3	2	false
choose	ask	3	2	false
manage	load	3	2	false
wait	note	3	2	false
recreate	drop	3	3	false
output	notify	3	1	false
release	throw	3	3	true
tear	post-test	3	1	false
begin	write	3	3	false
init	package	3	3	false
initialize	look	3	3	false
relocalize	create	3	3	false
restore	create	3	2	false
start	hook	3	3	false
write	hurt	3	3	false
tick	mark	3	3	true
prepare	take	3	3	true
minute	process	3	3	false
unload	release	3	3	false
halt	print	3	3	false
yield	wait	3	3	false
die	destroy	3	3	false
enable	install	3	3	false
restore	prepare	3	3	false
yield	relinquish	3	3	false
sleep	relinquish	3	3	false
fork	cause	3	3	false
ready	move	3	3	false
toggle	respond	3	3	false
initiate	make	3	3	true
generate	look	3	3	false
register	allow	3	3	false
transpose	create	3	2	false
pop	read	3	3	false
clear	keep	3	3	false
rebuild	drop	3	2	false
create	traverse	3	3	false
clear	abort	3	3	false
permit	enable	3	3	false
reveal	tell	3	3	true
refresh	Re-measure	3	3	false
bind	take	3	2	false
disable	disallow	3	3	false
refresh	invalidate	3	3	false
start	need	3	3	false
resume	tell	3	3	false
snap	scroll	3	3	false
end	SAX-like	3	3	false
pad	create	3	3	false
pause	hide	3	3	false
prepare	compute	3	3	false
clear	change	3	3	true
new	reset	3	2	false
initialize	fetch	3	3	false
use	leave	3	3	false
use	join	3	3	false
quit	note	3	3	false
stop	decide	3	3	false
disconnect	disonnect	3	3	false
dispose	reset	3	2	false
read	block	3	3	false
copy	keep	3	2	false
flush	prevent	3	3	false
create	prevent	3	3	false
discover	start	3	3	false
execute	request	3	3	false
process	store	3	3	false
select	start	3	3	false
emit	pass	3	3	false
visit	find	3	2	false
extract	script	3	1	false
character	read	3	3	false
normalize	transform	3	3	false
log	output	3	3	false
init	discard	3	2	false
tear	collect	3	1	false
fit	adjust	3	3	true
read	call	3	3	true
reap	loop	3	3	false
pop	notify	3	3	false
flush	fire	3	3	false
enable	invoke	3	3	false
finish	insert	3	3	false
serialize	generate	3	2	false
post	register	3	2	true
dispose	unhook	3	2	false
stop	record	3	2	false
select	find	3	3	false
build	handle	3	2	false
put	make	3	2	false
detect	fail	3	1	false
garden	start	3	3	false
perform	update	3	2	false
init	intialize	3	3	false
choose	display	3	2	false
post	fill	3	1	false
process	query	3	2	false
clear	show	3	2	false
finish	tell	3	3	false
choose	let	3	2	false
read	object	3	3	false
parse	scan	3	2	false
apply	load	3	3	false
uid	number	3	1	false
read	exist	3	3	false
retrieve	force	3	2	false
accept	make	3	1	false
process	iterate	3	3	false
explore	open	3	2	false
finish	force	3	2	false
dismiss	tell	3	1	false
start	trigger	3	3	false
leave	disconnect	3	3	false
abort	instruct	3	3	false
nor	normalize	3	1	false
init	assume	3	3	false
anchor	end	3	1	false
paragraph	end	3	1	false
add	call	3	3	false
invalidate	force	3	3	false
die	stop	3	3	false
skip	discard	3	2	false
clone	reset	3	3	false
discover	traverse	3	3	false
create	list	3	3	false
load	map	3	3	false
quit	shut	3	3	false
animate	keep	3	1	false
collect	answer	3	2	false
fresh	create	3	1	false
output	conflict	3	1	false
summarize	parse	3	1	false
extract	name	3	1	false
extract	key	3	2	false
allow	notify	3	3	false
evaluate	insert	3	1	false
read	insert	3	1	false
fire	propagate	3	2	false
spawn	respawn	3	2	false
disable	cancel	3	3	false
pop	go	3	3	true
end	cleanup	3	3	false
repaint	schedule	3	3	false
find	subclass	3	3	false
make	resize	3	3	false
parse	retrieve	3	2	false
init	map	3	2	false
perform	build	3	3	false
update	arrange	3	1	false
distribute	process	3	3	false
create	wire	3	3	false
prepare	construct	3	3	false
generate	scan	3	2	false
sleep	throttle	3	3	false
finalize	clear	3	3	false
close	accept	3	3	false
dispose	prepare	3	1	true
process	send	3	3	false
take	inject	3	3	false
try	compute	3	3	false
show	pop	3	2	false
interact	allow	3	2	false
randomize	generate	3	2	false
acquire	call	3	1	false
query	short	3	1	false
unblock	allow	3	2	false
nu	section	3	1	false
change	convert	3	2	true
compute	fill	3	2	false
prepare	change	3	3	true
clear	getwarning	3	2	false
mark	take	3	2	false
read	require	3	3	false
monitor	find	3	2	false
add	panel	3	1	false
undo	pull	3	1	false
support	evaluate	3	1	false
update	whenever	3	3	false
remove	read	3	3	false
prepare	delay	3	3	false
wait	occur	3	1	false
enable	let	3	3	false
graph	parse	3	2	false
initialize	further	3	1	false
apply	remove	3	1	false
traverse	forward	3	1	false
execute	exceute	3	2	false
encode	delegate	3	1	false
bind	update	3	3	false
stack	create	3	2	false
finish	move	3	3	true
compensate	handle	3	2	false
call	tear	3	1	false
fire	force	3	1	false
validate	accept	3	1	false
close	unregister	3	3	false
activate	allow	3	3	false
start	accept	3	3	false
find	mark	3	2	false
describe	exist	3	1	false
describe	go	3	1	false
perform	load	3	3	false
flush	void	3	2	false
synchronize	void	3	2	false
copy	detect	3	1	false
create	command	3	1	false
drop	command	3	1	false
reduce	initialize	3	1	false
reduce	provide	3	1	false
create	translate	3	1	false
schedule	create	3	2	false
con	produce	3	1	false
bind	first-class	3	1	false
iter	occur	3	1	false
read	reconstruct	3	1	false
disable	void	3	1	false
remove	fire	3	1	true
init	kick	3	1	false
chapter	cover	3	1	false
summarize	print	3	1	false
balance	obtain	3	1	false
init	complete	3	2	false
process	navigate	3	1	false
spring	delegate	3	1	false
retrieve	allow	3	1	false
request	obtain	3	1	false
real	close	3	1	false
have	add	3	2	false
sort	create	3	2	false
persist	copy	3	3	false
call	select	3	1	false
include	allow	3	1	true
avail	find	3	1	false
hover	move	3	2	false
disconnect	shutdown	3	3	false
mock	play	3	3	false
compute	pre-computes	3	3	false
halt	flag	3	3	false
look	start	3	3	false
push	preserve	3	1	false
retrieve	demonstrate	3	1	false
render	make	3	2	true
apply	means	3	3	false
rewind	move	3	3	false
rethrow	throw	3	3	false
expose	read	3	3	false
dump	present	3	3	false
build	shrinkwrap	3	2	false
record	initialize	3	2	false
handle	disable	3	2	false
create	panel	3	2	false
find	bind	3	1	false
break	bind	3	1	false
compare	bind	3	1	false
fold	bind	3	1	false
prelude	bind	3	1	false
close	propagate	3	3	false
badger	obtain	3	3	false
clear	fetch	3	3	false
compress	take	3	1	false
sort	merge	3	3	false
bind	make	3	2	false
perform	happen	3	2	false
perform	make	3	2	true
query	load	3	1	false
hook	configure	3	1	false
bind	remove	3	2	false
format	negative	3	1	false
terminate	clean	3	2	false
filter	create	3	3	false
show	apply	3	3	false
update	propagate	3	3	false
open	expand	3	3	false
register	scan	3	2	false
release	relinquish	3	3	true
toggle	make	3	3	false
finish	entire	3	3	false
add	pop	3	3	false
iterate	parse	3	3	false
throw	put	3	3	true
dereference	make	3	3	false
build	change	3	2	false
handle	want	3	1	false
create	require	3	2	false
tune	change	3	3	false
process	name	3	3	false
type	note	3	2	false
fragment	represent	3	2	false
undo	load	3	3	false
validate	put	3	3	false
validate	display	3	1	false
flush	sync	3	3	false
clean	mark	3	3	false
clone	block	3	3	false
apply	extract	3	3	false
finish	signal	3	2	false
load	notify	3	2	false
clear	start	3	3	false
make	hash	3	3	false
init	request	3	3	false
init	customize	3	2	false
create	mark	3	2	false
call	initiate	3	2	false
execute	pull	3	3	false
build	put	3	3	false
implement	create	3	3	false
reset	overwrite	3	3	false
modify	make	3	3	true
initialize	destroy	3	3	false
advance	iterate	3	1	false
process	calculate	3	3	true
advance	update	3	3	false
reuse	prepare	3	3	false
reset	disallow	3	3	false
name	appear	3	3	false
bind	initialize	3	3	false
peek	store	3	3	false
disable	recycle	3	3	false
reconnect	issue	3	3	false
resume	pause	3	3	false
clone	prevent	3	3	false
close	calculate	3	3	false
clear	depend	3	3	false
clear	deregister	3	3	false
process	invalidate	3	3	false
id	debug	3	3	false
tell	inform	3	3	true
expire	invalidate	3	3	false
fix	adjust	3	3	false
halt	block	3	3	true
stop	Sub-classes	3	3	false
start	Sub-classes	3	3	false
recycle	make	3	3	false
compact	clear	3	3	false
clone	look	3	3	false
find	lookup	3	3	false
store	read	3	3	false
update	repaint	3	3	false
sort	record	3	3	false
new	open	3	3	false
browse	display	3	3	false
edit	process	3	2	false
clear	handle	3	3	false
create	declare	3	2	false
hide	notify	3	2	false
